ETNIA;DESCRICAO
001;ACONA(WAKONAS, NACONAS, JAKONA, ACORANES)
002;AIKANA(AIKANA, MASSAKA,TUBARAO )
003;AJURU
004;AKUNSU(AKUNTSU)
005;AMANAYE
006;AMONDAWA
007;ANAMBE
008;APARAI(APALAI)
009;APIAKA(APIACA)
010;APINAYE(APINAJE,APINAIE,APINAGE)
011;APURINA(APORINA, IPURINA, IPURINA, IPURINAN)
012;ARANA(ARACUAI DO VALE DO JEQUITINHONHA)
013;ARAPASO(ARAPACO)
014;ARARA DE RONDONIA(KARO, URUCU, URUKU)
015;ARARA DO ACRE(SHAWANAUA, AMAWAKA)
016;ARARA DO ARIPUANA (ARARA DO BEIRADAO,ARIPUANA)
017;ARARA DO PARA(UKARAGMA, UKARAMMA)
018;ARAWETE(ARAUETE)
019;ARIKAPU(ARICAPU, ARIKAPO, MASUBI, MAXUBI)
020;ARIKEM(ARIQUEN, ARIQUEME, ARIKEME)
021;ARIKOSE(ARICOBE)
022;ARUA
023;ARUAK(ARAWAK)
024;ASHANINKA(KAMPA)
025;ASURINI DO TOCANTINS(AKUAWA,AKWAWA)
026;ASURINI DO XINGU(AWAETE)
027;ATIKUM(ATICUM)
028;AVACANOEIRO
029;AWETI(AUETIAUET)
030;BAKAIRI (KURA, BACAIRI)
031;BANAWA YAFI(BANAWA, BANAWAJAFI)
032;BANIWA(BANIUA, BANIVA, WALIMANAI, WAKUENAI)
033;BARA(WAIPINOMAKA)
034;BARASANA(HANERA)
035;BARE
036;BORORO (BOE)
037;BOTOCUDO(GEREN)
038;CANOE
039;CASSUPA
040;CHAMACOCO
041;CHIQUITANO(XIQUITANO)
042;CIKIYANA(SIKIANA)
043;CINTA LARGA(MATETAMAE)
044;COLUMBIARA(CORUMBIARA)
045;DENI
046;DESANA(DESANA, DESANO, DESSANO, WIRA, UMUKOMASA)
047;DIAHUI(JAHOI, JAHUI, DIARROI)
048;ENAWENENAWE(SALUMA)
049;FULNIO
050;GALIBI(GALIBI DO OIAPOQUE, KARINHA)
051;GALIBI MARWORNO(GALIBI DO UACA, ARUA)
052;GAVIAO DE RONDONIA(DIGT)
053;GAVIAO KRIKATEJE
054;GAVIAO PARKATEJE(PARKATEJE)
055;GAVIAO PUKOBIE(PUKOBIE, PYKOPJE, GAVIAO DO MARANHAO)
056;GUAJA (AWA, AVA)
057;GUAJAJARA (TENETEHARA)
058;GUARANI KAIOWA(PAI TAVYTERA)
059;GUARANI MBYA
060;GUARANI ANDEVA(AVAKATUETE, CHIRIPA, NHANDEWA, AVA GUARANI)
061;GUATO
062;HIMARIMA(HIMERIMA)
063;INGARIKO(INGARICO, AKAWAIO, KAPON)
064;IRANXE(IRANTXE)
065;ISSE
066;JABOTI(JABUTI, KIPIU, YABYTI)
067;JAMAMADI(YAMAMADI, DJEOROMITXI)
068;JARAWARA
069;JIRIPANCO(JERIPANCO, GERIPANCO)
070;JUMA(YUMA)
071;JURUNA
072;JURUTI(YURITI)
073;KAAPOR(URUBUKAAPOR, KAAPOR, KAAPORTE)
074;KADIWEU(CADUVEO, CADIUEU)
075;KAIABI(CAIABI, KAYABI)
076;KAIMBE(CAIMBE)
077;KAINGANG(CAINGANGUE)
078;KAIXANA(CAIXANA)
079;KALABASSA(CALABASSA, CALABACAS)
080;KALANCO
081;KALAPALO(CALAPALO)
082;KAMAYURA(CAMAIURA, KAMAIURA)
083;KAMBA(CAMBA)
084;KAMBEBA (CAMBEBA, OMAGUA)
085;KAMBIWA(CAMBIUA)
086;KAMBIWA PIPIPA( PIPIPA)
087;KAMPE
088;KANAMANTI (KANAMATI, CANAMANTI)
089;KANAMARI(CANAMARI, KANAMARY, TUKUNA)
090;KANELA APANIEKRA(CANELA)
091;KANELA RANKOKAMEKRA(CANELA)
092;KANINDE
093;KANOE(CANOE)
094;KANTARURE(CANTARURE)
095;KAPINAWA(CAPINAUA)
096;KARAJA(CARAJA)
097;KARAJAJAVAE(JAVAE)
098;KARAJAXAMBIOA(KARAJA DO NORTE)
099;KARAPANA(CARAPANA, MUTEAMASA, UKOPINOPONA)
100;KARAPOTO(CARAPOTO)
101;KARIPUNA(CARIPUNA)
102;KARIPUNA DO AMAPA(CARIPUNA)
103;KARIRI(CARIRI)
104;KARIRIXOCO(CARIRICHOCO)
105;KARITIANA(CARITIANA)
106;KATAWIXI(KATAUIXI,KATAWIN, KATAWISI, CATAUICHI)
107;KATUENA(CATUENA, KATWENA)
108;KATUKINA(PEDA DJAPA)
109;KATUKINA DO ACRE
110;KAXARARI(CAXARARI)
111;KAXINAWA(HUNIKUIN, CASHINAUA, CAXINAUA)
112;KAXIXO
113;KAXUYANA(CAXUIANA)
114;KAYAPO(CAIAPO)
115;KAYAPO KARARAO(KARARAO)
116;KAYAPO TXUKAHAMAE (TXUKAHAMAE)
117;KAYAPO XICRIM(XIKRIN)
118;KAYUISANA(CAIXANA, CAUIXANA, KAIXANA)
119;KINIKINAWA(GUAN, KOINUKOEN, KINIKINAO)
120;KIRIRI
121;KOCAMA(COCAMA, KOKAMA)
122;KOKUIREGATEJE
123;KORUBO
124;KRAHO(CRAO, KRAO)
125;KREJE(KRENYE)
126;KRENAK(BORUN, CRENAQUE)
127;KRIKATI(KRINKATI)
128;KUBEO(CUBEO, COBEWA, KUBEWA, PAMIWA, CUBEU)
129;KUIKURO(KUIKURU, CUICURO)
130;KUJUBIM(KUYUBI, CUJUBIM)
131;KULINA PANO(CULINA)
132;KULINAMADIHA(CULINA, MADIJA, MADIHA)
133;KURIPAKO(CURIPACO, CURRIPACO, CORIPACO, WAKUENAI)
134;KURUAIA(CURUAIA)
135;KWAZA(COAIA, KOAIA)
136;MACHINERI(MANCHINERI, MANXINERI)
137;MACURAP(MAKURAP)
138;MAKU DOW(DOW)
139;MAKU HUPDA(HUPDA)
140;MAKU NADEB(NADEB)
141;MAKU YUHUPDE(YUHUPDE)
142;MAKUNA(MACUNA, YEBAMASA)
143;MAKUXI(MACUXI, MACHUSI, PEMON)
144;MARIMAM(MARIMA)
145;MARUBO
146;MATIPU
147;MATIS
148;MATSE(MAYORUNA)
149;MAXAKALI(MAXACALI)
150;MAYA(MAYA)
151;MAYTAPU
152;MEHINAKO(MEINAKU, MEINACU)
153;MEKEN(MEQUEM, MEKHEM, MICHENS)
154;MENKY(MYKY, MUNKU, MENKI, MYNKY)
155;MIRANHA(MIRANHA, MIRAA)
156;MIRITI TAPUIA(MIRITITAPUYA, BUIATAPUYA)
157;MUNDURUKU(MUNDURUCU)
158;MURA
159;NAHUKWA(NAFUQUA)
160;NAMBIKWARA DO CAMPO(HALOTESU, KITHAULU, WAKALITESU,  SAWENTES, MANDUKA)
161;NAMBIKWARA DO NORTE(NEGAROTE, MAMAINDE, LATUNDE, SABANE E MANDUKA, TAWANDE)
162;NAMBIKWARA DO SUL(WASUSU, HAHAINTESU, ALANTESU, WAIKISU, ALAKETESU, WASUSU, SARARE)
163;NARAVUTE(NARUVOTO)
164;NAWA(NAUA)
165;NUKINI(NUQUINI, NUKUINI)
166;OFAIE (OFAYEXAVANTE)
167;ORO WIN
168;PAIAKU (JENIPAPOKANINDE)
169;PAKAA NOVA  (WARI, PACAAS NOVOS)
170;PALIKUR (AUKWAYENE, AUKUYENE, PALIKUENE)
171;PANARA (KRENHAKARORE, KRENAKORE, KRENAKARORE)
172;PANKARARE (PANCARARE)
173;PANKARARU (PANCARARU)
174;PANKARARU KALANKO (KALANKO)
175;PANKARARU KARUAZU (KARUAZU)
176;PANKARU (PANCARU)
177;PARAKANA (PARACANA, APITEREWA, AWAETE)
178;PARECI (PARESI, HALITI)
179;PARINTINTIN
180;PATAMONA (KAPON)
181;PATAXO
182;PATAXO HAHAHAE
183;PAUMARI (PALMARI)
184;PAUMELENHO
185;PIRAHA (MURA PIRAHA)
186;PIRATUAPUIA (PIRATAPUYA, PIRATAPUYO, PIRATAPUYA, WAIKANA)
187;PITAGUARI
188;POTIGUARA
189;POYANAWA (POIANAUA)
190;RIKBAKTSA(CANOEIROS, ERIGPAKTSA)
191;SAKURABIAT(MEKENS, SAKIRABIAP, SAKIRABIAR)
192;SATEREMAWE(SATEREMAUE)
193;SHANENAWA(KATUKINA)
194;SIRIANO(SIRIAMASA)
195;SURIANA
196;SURUI DE RONDONIA(PAITER)
197;SURUI DO PARA(AIKEWARA)
198;SUYA(SUIAKISEDJE)
199;TAPAYUNA(BEICODEPAU)
200;TAPEBA
201;TAPIRAPE(TAPIIRAPE)
202;TAPUIA(TAPUIAXAVANTE, TAPUIO)
203;TARIANO(TARIANA, TALIASERI)
204;TAUREPANG(TAULIPANG, PEMON, AREKUNA, PAGEYN)
205;TEMBE
206;TENHARIM
207;TERENA
208;TICUNA (TIKUNA, TUKUNA, MAGTA)
209;TINGUI BOTO
210;TIRIYO EWARHUYANA TIRIYO, TRIO, TARONA, YAWI, PIANOKOTO)
211;TIRIYO KAHYANA (TIRIYO, TRIO, TARONA, YAWI, PIANOKOTO)
212;TIRIYO TSIKUYANA (TIRIYO, TRIO, TARONA, YAWI, PIANOKOTO)
213;TORA
214;TREMEMBE
215;TRUKA
216;TRUMAI
217;TSOHOM DJAPA (TSUNHUMDJAPA)
218;TUKANO (TUCANO, YEPAMASA, DASEA)
219;TUMBALALA
220;TUNAYANA
221;TUPARI
222;TUPINAMBA
223;TUPINIQUIM
224;TURIWARA
225;TUXA
226;TUYUKA(TUIUCA, DOKAPUARA, UTAPINOMAKAPHONA)
227;TXIKAO(TXICAO, IKPENG)
228;UMUTINA(OMOTINA, BARBADOS)
229;URUEUWAUWAU(URUEUUAUUAU, URUPAIN, URUPA)
230;WAI WAI  HIXKARYANA (HIXKARYANA)
231;WAI WAI  KARAFAWYANA(KARAFAWYANA, KARAPAWYANA)
232;WAI WAI  XEREU (XEREU)
233;WAI WAI KATUENA (KATUENA)
234;WAI WAI MAWAYANA(MAWAYANA)
235;WAIAPI(WAYAMPI, OYAMPI, WAYAPY)
236;WAIMIRI ATROARI (KINA)
237;WANANO (UANANO, WANANA)
238;WAPIXANA (UAPIXANA, VAPIDIANA, WAPISIANA, WAPISHANA)
239;WAREKENA (UAREQUENA, WEREKENA)
240;WASSU
241;WAURA(UAURA, WAUJA)
242;WAYANA(WAIANA, UAIANA)
243;WITOTO(UITOTO, HUITOTO)
244;XAKRIABA(XACRIABA)
245;XAVANTE (AUWE, AKWE, AWEN, AKWEN)
246;XERENTE (AKWE, AWEN, AKWEN)
247;XETA
248;XIPAIA( SHIPAYA, XIPAYA)
249;XOKLENG(SHOKLENG, XOCLENG)
250;XOKO(XOCO, CHOCO)
251;XUKURU(XUCURU)
252;XUKURU KARIRI(XUCURUKARIRI)
253;YAIPIYANA
254;YAMINAWA(JAMINAWA, IAMINAWA)
255;YANOMAMI NINAM(IANOMAMI, IANOAMA, XIRIANA)
256;YANOMAMI SANUMA(IANOMAMI, IANOAMA, XIRIANA)
257;YANOMAMI YANOMAM(IANOMAMI, IANOAMA, XIRIANA)
258;YAWALAPITI(IAUALAPITI)
259;YAWANAWA(IAUANAUA)
260;YEKUANA (MAIONGON, YEKUANA, YEKWANA, MAYONGONG)
261;YUDJA(JURUNA, YURUNA)
262;ZOE (POTURU)
263;ZORO(PAGEYN)
264;ZURUAHA(SOROWAHA, SURUWAHA)
